Customer#,Store Name,Address,City,State,Phone1,Term,Balance,Credit,Last Amount
SC1848WK,BEAUTY CASTLE,2406 DECKER BLVD,COLUMBIA,SC,803-708-1596,NET30,"$11,288.48 ",$0.00 ,"$6,499.78 "
MS0910JMRK,BEAUTY DEPOT (MS),1700 UNIVERSITY  BLVD.,JACKSON,MS,601-354-0910,CHECK,"$1,558.80 ",$0.00 ,$606.00 
FL1123RK,"BEAUTY DEPOT(TAMPA,FL)",3120 E. HILLSBOROUGH AVE.,TAMPA,FL,727-328-3576,COD,$0.00 ,$0.00 ,"$5,195.55 "
FL7800DLWK,BEAUTY ELEMENTS,5519 NW 163RD ST,MIAMI GARDENS,FL,305-621-7800,NET30,"$5,191.18 ",$0.00 ,"$5,191.18 "
AR0202HKRK,BEAUTY GALLERY,6101 COLONEL GLENN RD.,LITTLE ROCK,AR,501-562-0202,COD,"$3,631.23 ",$0.00 ,"$1,732.59 "
GA7944RK,BEAUTY INFINITY MART,4015 HOLCOMB BRIDGE RD. SUITE #210,NORCROSS,GA,404-735-7944,CREDIT,$0.00 ,$0.00 ,$568.48 
TX5487KMWK,BEAUTY KIT SOLUTIONS,5700 BRAXTON DR. SUITE #190,HOUSTON,TX,713-334-5487,CREDIT,$996.00 ,$0.00 ,$996.00 
SC0641DLRK,BEAUTY MART,610 S. CHURCH ST.,SPARTANBUG,SC,864-597-0641,NET30,"$3,154.59 ",$0.00 ,"$1,824.39 "
TX4224RK,BEAUTY MAX,4140 AYERS. ST,CORPUS CHRIST,TX,361-885-4224,COD,$955.50 ,$0.00 ,$955.50 
AL6447RK,BEAUTY OF ANGELS,1300 E. HIGHLAND AVE.,SELMA,AL,334-872-6647,CHECK,"$1,818.64 ",$400.00 ,$794.24 
MD0955RN,BEAUTY PLUS,2107 NORTH CHARLES ST,BALTIMORE,MD,410-685-0955,CREDIT,$0.00 ,$0.00 ,"$1,092.00 "
MS8409RK,BEAUTY SQUAD,"5912 US HIGHWAY 49, SUITE #A3",HATTIESBURG,MS,601-543-0537,COD,"$5,477.76 ",$0.00 ,$36.00 
NC3281RK,BEAUTY WORLD (DUNN),1721 W. CUMBERLAND ST,DUNN,NC,919-683-3281,CHECK,$0.00 ,$0.00 ,"$1,222.13 "
NC3937DLRK,BEAUTY WORLD (DURHAM),2000 CHAPEL HILL RD STE#2,DURHAM ,NC,919-489-3937,NET30,"$1,023.72 ",$0.00 ,$846.86 
NC9089DLRK,BEAUTY WORLD (HENDERSON),981 S BECKFORD DR.,HENDERSON,NC,252-438-9089,CREDIT,$0.00 ,$0.00 ,"$1,047.40 "
TN0197RK,BEAUTY WORLD (JACKSON TN),"865 VANN DR.  STE, E-G",JACKSON,TN,731-660-0197,CREDIT,$0.00 ,$0.00 ,
NC0077DLRK,BEAUTY WORLD (KINSTON) ,2427 N HERRITAGE ST,KINSTON,NC,252-523-0077,CHECK,$0.00 ,$0.00 ,$0.00 
NC1228DLRK,BEAUTY WORLD (ROCKY MT),1998 STONE ROSE DR.,ROCKY MOUNT,NC,252-446-1228,NET30,"$3,205.86 ",$0.00 ,$817.27 
NC0661DLRK,BEAUTY WORLD (WILSON),1301 WARD BLVD #K,WILSON,NC,252-399-0661,CHECK,$290.70 ,$0.00 ,$290.70 
NC3281DLRK,BEAUTY WORLD SUPPLY(DURHAM),1418 AVONDALE DR.,DURHAM,NC,919-683-3281,CHECK,"$1,736.30 ",$0.00 ,"$1,736.30 "
NC2323RK,BEAUTY WORLD(GREENVILLE),2308 S. MEMORIAL DR.,GREENVILLE,NC,252-321-2323,CHECK,$0.00 ,$0.00 ,$0.00 
TX7520RN,BENNETT BEAUTY&BARBER SUPPLY,13820 WESTHEIMER RD,HOUSTON,TX,281-752-7520,CREDIT,$0.00 ,$0.00 ,
PA8949HKWK,BEN'S BEAUTY SUPPLY DISTRIBUTOR INC,6900 LINDBERGH BLVD.,PHILADELPHIA,PA,866-634-8949,NET30,$0.00 ,$0.00 ,"$5,956.50 "
TX0025KMWK,BEN'S BEAUTY SUPPLY DISTRIBUTOR INC.,5631 HARTSDALE DR.,HOUSTON,TX,713-789-0025,NET30,"$3,026.22 ",$0.00 ,"$3,026.22 "
MD4600HKWK,BEN'S BEAUTY SUPPLY DISTRIBUTOR INC.,7855 RAPPAHANNOCK AVE.,JESSUP,MD,410-799-4600,NET30,$0.00 ,$0.00 ,"$9,329.00 "
OH3702IN,BERNARD YOUNG,815 OAK STREET,CINCINNARTI,OH,513-236-3702,CREDIT,$0.00 ,$0.00 ,$0.00 
GA8080JMWK,BESCO,6100 BUFORD HWY,ATLANTA,GA,770-729-8080,NET30,"$22,150.29 ","$13,321.37 ","$3,887.59 "
PA7473JMWK,BIG MAN TRADING INC.,5010 N. MASCHER ST.,PHILADELPHIA,PA,215-457-7473,NET30,"$13,674.96 ",$0.00 ,"$6,332.70 "
CA8787IN,BILL HAYDEN,7028  VIA  VALVERDE,SAN JOSE,CA,408-532-8787,CREDIT,$0.00 ,$0.00 ,$53.33 
TN0802IN,"BLACK ROYAL ESSENTIALS, LLC",4246 HILLGATE COVE,MEMPHIS,TN,901-480-0802,CREDIT,$0.00 ,$0.00 ,$0.00 
IL5395IN,BREANNA  WILLIS,14990 MARKHAM DR,HARVEY,IL,708-541-5395,CREDIT,$0.00 ,$0.00 ,$0.00 
LA4946WN,BROTHERS WHOLESALE,531 HOLMES BLVD. STE # B,GRETNA,LA,504-715-4946,CREDIT,$0.00 ,$0.00 ,"$7,917.50 "
SC9133DLWK,BYESSENCE BEAUTY(J&D ENT.),1815 WILSON RD.,NEWBERRY,SC,803-597-5266,COD,"$2,943.50 ",$0.00 ,"$1,448.30 "
MS3455SKRK,C&C BEAUTY SUPPLY 2,3966 GOODMAN RD,HORN LAKE,MS,662-280-3455,COD,"$4,452.93 ",$0.00 ,"$1,448.01 "
FL4785WK,C&L TRADING OF MIAMI,12847 NW. 45TH AVE.,OPA LOCKA,FL,305-576-4785,NET30,"$258,236.29 ",$388.80 ,"$6,084.00 "
TN1815RK,C&P BEAUTY SUPPLY,3672 HICKORY HILL RD,MEMPHIS,TN,901-367-1815,NET 15,$0.00 ,$0.00 ,$734.40 
CR9298WN,CASA CESAR N.V.,WINSTON CHURCHILLWEG 25,CURACAO,,599 9 512 9298,CASH,$0.00 ,$0.00 ,"$2,505.00 "
SC6326IN,CHANEL HEGETSCHWEILER,265 DELBOURNE LN,GREER,SC,619-361-6326,CREDIT,$0.00 ,$0.00 ,$0.00 
GA7734RK,CHAPEL BEAUTY SUPPLY,3564 WESLEY CHAPLE RD.,DECATUR,GA,770-987-7734,CHECK,$460.00 ,$0.00 ,$460.00 
GA4425IN,CHERELLE RENEE INC,5989 SOUTHLAND DRIVE,STONE MOUNTAIN,GA,678-677-4425,CREDIT,$0.00 ,$0.00 ,$496.81 
NY7695HKIN,CHERYL ROSS,12908 LIBERTY AVENUE,RICHMOND HILL,NY,268-726-7695,CREDIT,$0.00 ,$0.00 ,$0.00 
CA8683IN,CHRISTIAN SMITH,1915 W MARTIN LUTHER KING BLVD  APT 200,LOS ANGELES,CA,323-533-8683,CREDIT,$0.00 ,$0.00 ,$54.03 
TX1055RK,CHRISTINE WIG & B/S,2033 AIRLINE RD. STE# F,CORPUS CHRIST,TX,361-993-1055,COD,$0.00 ,$0.00 ,
AL2005RK,CIC & M INC (BEAUTY MARK),1621 SKYLAND BLVD. E,TUSCALOOSA,AL,205-556-2005,NET30,"$2,295.81 ",$0.00 ,"$2,295.81 "
ON6572WK,CLORE CANADA INC.,5145 SATELLITE DR.,MISSISSAUGA,ON,416-787-6572,CASH,"$20,719.13 ",$0.00 ,"$20,699.13 "
NC7868IN,CONCEITED THE SALON,806 WILLOWEDGE CT,KNIGHTDALE,NC,,CREDIT,$0.00 ,$0.00 ,$37.87 
AL1230RK,CORNER BEAUTY SUPPLY,3065 SPRING HILL AVE.,MOBILE,AL,251-478-1230,NET60,"$1,250.55 ",$0.00 ,"$1,250.55 "
NY3424IN,CRISTAL  TAILOR,353 BEACH 54TH STREET  APT 6B,FAR ROCKAWAY,NY,347-759-3424,CREDIT,$0.00 ,$0.00 ,$0.00 
NY8330RN,CRM DEALS,1474  60TH  ST.,BROOKLYN,NY,917-966-8330,CREDIT,$0.00 ,$0.00 ,"$9,798.30 "
NC1437IN,CURTIS BASS,524 W. CENTER ST,MEBANE,NC,919-415-1437,CREDIT,$172.24 ,$0.00 ,$172.24 
GA1005HKWK,CY LADY,1625 LAKES PKWY.,LAWRENCEVILLE,GA,678-226-1005,NET60,"$49,206.05 ",$979.20 ,"$1,460.70 "
PA3823IN,"CYNCITYCUTZ, LLC",526 MANNING AVENUE,MCKEESPORT,PA,412-313-3823,CREDIT,$0.00 ,$0.00 ,$34.29 
IL6111WK,D&G TRADING,6218 W. MADISON COURT,MORTON GROVE,IL,847-583-8862,CREDIT,$0.00 ,$18.00 ,"$5,671.20 "
PA1557IN,DANYELLE BELLINGER,711 VILLA  DR,CHESTER,PA,267-476-1557,CREDIT,$0.00 ,$0.00 ,$0.00 
KY0122IN,DASAUN MARSHALL,10407  COACHOUSE  PL,LOUISVILLE,KY,502-727-0122,CREDIT,$0.00 ,$0.00 ,$0.00 
PA1214IN,DASIA'VU,62 RAILROAD AVE,KINGSTON,PA,570-540-1214,CREDIT,$0.00 ,$0.00 ,$0.00 
IL1515WK,DASO TRADING INC.,7305 N. LINDER AVE.,SKOKIE,IL,847-675-1515,NET30,"$8,310.60 ",$0.00 ,"$8,310.60 "
GA5824IN,DEBORAH  WRIGHT,4608 HERTY DRIVE,SAVANNAH,GA,912-341-5824,CREDIT,$0.00 ,$0.00 ,$0.00 
MS9216IN,DEBORAH PEPPER,2314 W CLUBVIEW CIRCLE,YAZOO,MS,662-571-9216,CREDIT,$0.00 ,$0.00 ,$72.01 
NJ0577IN,DEHAMEEN BELLAMY,44. 1/2  3RD  STREET 2ND FL,NEWARK,NJ,973-766-0577,CREDIT,$0.00 ,$0.00 ,$82.43 
IL8184HKWK,DELMAR WHOLESALE,5924 N. ILLINOIS ST.,FAIRVIEW HEIGHTS,IL,314-436-8184,CHECK,$0.00 ,$0.00 ,"$4,459.00 "
MD8387IN,DEOLAS TOUCH,12417 POPLAR VIEW DRIVE,BOWIE,MD,,CREDIT,$0.00 ,$0.00 ,$111.22 
CA4322IN,DESTINY  CARTER,4017 PALMWOOD DRIVE  APT. 3,LOS ANGELES,CA,310-618-4322,CREDIT,$0.00 ,$0.00 ,$0.00 
LU0831WN,DIAMOND GIRL BEAUTY SUPPLY,#2 BRIDGE STREET ,CASTRIES  ST. LUCIA,,1-758-456-0831,WIRE,"$5,936.70 ",$0.00 ,"$5,936.70 "
FL8559IN,DIVINE DESIGNS BY ASHLEY,2522 CAPITAL CIRCLE NE SUITE 9,TALLAHASSEE,FL,8509808559,CREDIT,$0.00 ,$0.00 ,$208.99 
IN0298RK,DJ BEAUTY SUPPLY,4235 LAFAYETT RD.,INDIANAPOLIS,IN,317-328-0298,CHECK,$855.01 ,$0.00 ,$855.01 
NC0117IN,DNR BEAUTY,330 CHERRY RUN CENTER,WASHINGTON,NC,252-947-0117,CREDIT,$0.00 ,$0.00 ,$0.00 
TX0147RN,DOLLAR POINTE INC,2302 S HWY 121 BUSINESS  SUITE 150,LEWISVILLE,TX,214-513-0147,CREDIT,$0.00 ,$0.00 ,$387.00 
NV6166IN,DOROTHY  L SMITH,1131 RALSTON DR,LAS VEGAS,NV,702-581-6166,CREDIT,$0.00 ,$0.00 ,$0.00 
MO1000WK,DT TRADING,10795 MIDWEST INDUSTRIAL BLVD,ST LOUIS,MO,314-652-1000,NET30,"$7,783.23 ",$0.00 ,"$3,203.33 "
GA1341JMWK,EBS IMPORT&WHOLESALE,1049 INDUSTRIAL COURT #F,SUWANEE,GA,404-509-1522,NET 45,"$23,092.21 ",$0.00 ,"$1,300.38 "
NJ1405IN,ELAN SALON,33-39 GREENWOOD AVE,MONTCLAIR,NJ,973-744-1405,CREDIT,$0.00 ,$0.00 ,$0.00 
FL2566IN,ELIE PIERRE,5121 NE 15TH  AVE,POMPANO BEACH,FL,954-391-2566,CREDIT,$0.00 ,$0.00 ,$98.89 
CA9056IN,ELISE BEAUTY SUPPLY,3186 CONTRA  LOMA  BLVD.  STE 325,ANTIOCH,CA,925-628-9056,CREDIT,$0.00 ,$0.00 ,$150.96 
NC1069IN,ELIZABETH JONES,206 LITTLE  ST,LINCOLNTON,NC,980-241-1069,CREDIT,$0.00 ,$0.00 ,$54.55 
GA0345JMWK,EMPRESS BEAUTY DISTRIBUTORS,5815 BROOK HOLLOW PKWY. SUITE #D ,NORCROSS,GA,770-409-0345,NET30,"$4,884.90 ",$0.00 ,"$4,884.90 "
LA4102RK,ESSENCE BEAUTY DEPOT,1241 GRAND CAILLOU RD.,HOUMA,LA,985-580-4102,CREDIT,$0.00 ,$0.00 ,$793.80 
OH4115RK,ESSENCE BEAUTY MART,1880 W. MARKET ST.,AKRON,OH,330-867-4115,NET30,$0.00 ,$0.00 ,$903.04 
NC1133IN,EVELYN BRANCH,616 BROAD ST W,WILSON,NC,252-363-1133,CREDIT,$0.00 ,$0.00 ,$0.00 
GA9510RK,EVERGREEN BEAUTY,3814 SALEM RD.,COVINGTON,GA,770-728-4932,NET30,"$4,015.20 ",$0.00 ,"$1,814.00 "
TX6993WK,EXPO TRADING,9889 HARWIN DR. SUITE #411-413,HOUSTON,TX,,NET30,"$13,280.66 ",$0.00 ,"$2,727.16 "
NY2227RN,FARMERS BEAUTY SUPPLY(NY),117-25 FARMERS BLVD,SAINT ALBANS,NY,718-470-2227,CREDIT,$0.00 ,$0.00 ,$524.40 
FL9447KO,FASHION WORLD,1201 APALACHEE PARKWAY,TALLAHASSEE,FL,850-219-9447,CREDIT,$0.00 ,$0.00 ,"$2,034.45 "
VI7587WN,FIRST CHOICE BEAUTY INC,SPROTTS PLAZA  BAY STREET,"KINGSTOWN,ST.VINCENT",,1-784-485-7587,WIRE,"$12,267.90 ",$0.00 ,"$12,267.90 "
CA8270RN,FORESTA  BOUTIQUE,2612 W SUNSET BLVD.,LOS ANGELES,CA,323-526-8270,CREDIT,$0.00 ,$0.00 ,"$1,950.00 "
FL8403IN,FRANCIS SHERWOOD,8231 NW 54TH COURT,LAUDERHILL,FL,,CREDIT,$0.00 ,$0.00 ,
FL4784WN,"G MAN USA, LLC",6704 PARKE EAST BLVD,TAMPA,FL,813-620-1624,CREDIT,$0.00 ,$0.00 ,"$3,156.00 "
GA3332RK,G&A BEAUTY SUPPLY,3780 OLD NORCROSS RD.,DULUTH,GA,678-205-3332,CHECK,$454.80 ,$0.00 ,$454.80 
MD3901IN,GAMILA LEE,4402 FREESTONE LANE  #104,NOTTINGHAM,MD,443-490-3901,CREDIT,$0.00 ,$0.00 ,$0.00 
CA3355JMWK,"GENERAL IMPORT ENTERPRISES, INC.",3041 BANDINI BLVD.,VERNON,CA,323-268-3355,COD,$0.00 ,$0.00 ,"$1,410.00 "
GA0965IN,GERALDINE  RAMSEUR,1746  HARROGATE DRIVE,AUGUSTA,GA,706-834-0965,CREDIT,$0.00 ,$0.00 ,$66.13 
CT8886IN,GERALDINE MURRAY,169 OAKLAND AVE,NEW BRITAIN,CT,973-259-8886,CREDIT,$0.00 ,$0.00 ,$96.21 
FL0316IN,GET SET STYLE,1707 S PERIMETER RD  HNGR 33B SUITE 14395,FT LAUDERDALE,FL,954-909-0316,CREDIT,$0.00 ,$0.00 ,$0.00 
NJ2001RK,GG10,21 GRAND AVE #209,PALISADES PARK,NJ,201-313-0700,CHECK,$0.00 ,$0.00 ,"$9,300.00 "
NY8019IN,GLAM HAIR BY WENDY,239 JEFFERSON ST APT 2B,BROOKLYN,NY,347-897-8019,,$0.00 ,$0.00 ,$172.30 
GA0600JMWK,GLOBAL BEAUTY CORP.,3020 EVERGREEN DR.,DULUTH,GA,770-263-0600,NET30,"$7,779.63 ",$0.00 ,"$1,516.67 "
PA3377JMWK,GOLDEN CROSS,5139 N. 5TH ST.,PHILADELPHIA,PA,215-455-3377,CHECK,"$18,640.00 ",$0.00 ,"$4,938.00 "
PA4035JMWK,GRACE WORLD,328 W. WYOMING AVE.,PHILADELPHIA,PA,215-324-4035,NET30,"$15,686.82 ",$0.00 ,"$2,262.90 "
SC0000RK,HAIR BOSS,7367 TWO NOTCH RD.,COLUMBIA,SC,803-764-0000,NET30,"$6,512.50 ",$472.00 ,"$2,076.10 "
GA0716IN,HAIR BY JELISA,4120 WOODCREST IN,POWDER SPRINGS,GA,404-205-0087,CREDIT,$0.00 ,$0.00 ,$44.34 
KY5963RK,HAIR CITY,848 JOE CLIFTON DR.,PADUCAH,KY,270-534-5963,CREDIT,$0.00 ,$0.00 ,
LA0664RK,HAIR CROWN BEAUTY SUPPLY,3905 CHOCTAW DR.,BATON ROUGE,LA,225-358-0664,CREDIT,"$1,992.00 ",$0.00 ,"$1,992.00 "
OH7997SKRK,HAIR DEPOT PLUS(COLUMBUS),1661 E. DUBLIN GRANVILLE RD,COLUMBUS,OH,614-396-7997,NET30,"$2,375.12 ",$0.00 ,"$1,369.60 "
OH1149RK,HAIR DEPOT PLUS(WARREN),4443 YOUNGSTOWN RD,WARREN,OH,330-898-1149,NET30,"$2,217.28 ",$0.00 ,"$1,147.20 "
OH7656RK,HAIR DEPOT PLUS(YOUNGSTOWN),4026 MARKET ST,YOUNGSTOWN,OH,330-788-7656,NET30,"$1,797.20 ",$0.00 ,"$1,797.20 "
LA9966RN,HAIR GALLERIA BEAUTY SUPPLY,5953 PLANK RD.,BATON ROUGE,LA,225-478-9966,CREDIT,$0.00 ,$0.00 ,"$1,618.80 "
OH9777RK,HAIR JOY,3531  CLEVELAND AVE,CLEVELAND ,OH,614-268-9777,CREDIT,$0.00 ,$0.00 ,
OH4100RK,HAIR PLUS (OHIO),4641 MORSE CENTER RD,COLUMBUS,OH,614-430-9909,NET60,"$4,543.20 ",$0.00 ,$991.84 
NY0838JMWK,HANA UNIVERSAL TRADING,27 WEST 27TH ST,NEW YORK,NY,212-696-0838,COD,"$5,815.00 ",$0.00 ,"$3,177.00 "
NY9248WK,HELLO BANANA INC.,1179 BROADWAY UNIT B,NEW YORK,NY,212-213-9248,CREDIT,"$21,084.06 ",$0.00 ,"$7,629.66 "
NJ9007IN,HOUSE OF BEAUTY THE NEXT LEVEL SALON & BEAUTY SUPPLY,140 S. WHITE HORSE PIKE,SOMERDALE,NJ,609-663-9007,CREDIT,$0.00 ,$0.00 ,
NC3450DLRK,I BEAUTY,3131 CAPITAL BLVD,"RALEIGH,",NC,984-200-3450,NET30,"$2,306.73 ",$0.00 ,$353.60 
NC4030DLRK,I BEAUTY,1601 CROSS LINK RD.,RALEIGH,NC,919-832-4030,CREDIT,$0.00 ,$0.00 ,$562.50 
NC0661RK,I BEAUTY (3233 AVENT FERRY),3233 AVENT FERRY RD,RALEIGH,NC,252-399-0661,NET30,$0.00 ,$0.00 ,$529.98 
NY0363WN,I BEAUTY CORP (NY),46 WEST 29TH STREET 1'ST FL,NEWYORK,NY,917-262-0363,CREDIT,"$5,572.00 ",$0.00 ,"$5,572.00 "
CA4474RK,IC BEAUTY SUPPLY,2551 EAST AVE. S  SUITE #C,PALMDALE,CA,661-622-4474,COD,"$1,131.50 ",$0.00 ,"$1,131.50 "
MI2880RK,ICON BEAUTY,G-3537 MILLER RD.  UNIT #37,FLINT,MI,810-230-0885,CREDIT,$0.00 ,$0.00 ,$305.55 
NC1956IN,INFINITY BEAUTY BAR,10532  HILL POINT CT,CHARLOTTE,NC,980-202-1956,CREDIT,$0.00 ,$0.00 ,$96.36 
SC6704IN,INNOVATIVE  SALON,2507 LEO DR,DARLINGTON,SC,843-857-6704,CREDIT,$0.00 ,$0.00 ,$65.33 
OH8527IN,ISALON PLUS,3435 EAST 102ND STREET,CLEVELAND,OH,216-673-8527,CREDIT,$0.00 ,$0.00 ,$115.63 
GA8796,ITSAMAZING BEAUTY,8303 WHITE BLUFF  RD,SAVANNAH,GA,(912)920-8796,CREDIT,$0.00 ,$0.00 ,$0.00 
MI4410IN,J ANTHONY SALON SPA LLC,23743 MERRILL AVE,SOUTHFIELD,MI,313-826-4410,CREDIT,$0.00 ,$0.00 ,$0.00 
IL8989RK,J&J BEAUTY (IL),6702 N. CRAWFORD AVE.,LINCOLNWOOD,IL,847-674-4002,CHECK,$0.00 ,$0.00 ,$0.00 
GA8787JMRK,J&J BEAUTY SUPPLY,3638 HWY 138 SE,STOCKBRIDGE,GA,770-507-8787,NET30,$0.00 ,$0.00 ,$342.98 
CA5784IN,JACKSONGOODS,1415 BROADWAY 219,ALAMEDA,CA,510-865-5784,CREDIT,$0.00 ,$0.00 ,$54.00 
NC6724DLRK,JAJ BEAUTY SUPPLY,1011 S. CANNON BLVD.,KANNAPOLIS,NC,704-938-6724,CREDIT,$0.00 ,$0.00 ,"$1,918.48 "
OH8989RK,JC BEAUTY & FASHION,689 NORTHLAND BLVD.,CINCINNATI,OH,513-825-8989,NET30,"$1,533.84 ",$0.00 ,"$1,533.84 "
TX4161IN,JEARON THOMPSON,1312 EAST CHESTNUT AVE,MIDLAND,TX,432-889-4161,CREDIT,$0.00 ,$0.00 ,$0.00 
NJ1335IN,JEMIERA CLARK,1 MARION CT,EWING,NJ,609-331-1335,CREDIT,$0.00 ,$0.00 ,$0.00 
PA1331IN,JIMMIE MACK,1124 SUTHERLAND ST,PITTSBURGH,PA,412-656-1331,CREDIT,$0.00 ,$0.00 ,$55.33 
CA5624WK,"JOAH INTERNATIONAL, INC.",2366 ALVARADO ST. SUITE #2A,SAN LEANDRO,CA,510-352-5624,COD,"$21,425.32 ",$100.00 ,"$7,688.40 "
KS7478IN,JON CRAWFORD,542 FRONTIER ROAD  #E510,LAWRENCE,KS,785-213-7478,CREDIT,$0.00 ,$0.00 ,$0.00 
TX6603IN,JOSEPH HENRY,434 ESSEX DR.,MESQUITE,TX,214-554-6603,CREDIT,$0.00 ,$0.00 ,$0.00 
FL4753IN,JOYCE PROPST,5505 HERNANDES DRIVE.  APT 104,ORLANDO,FL,407-683-4753,CREDIT,$0.00 ,$0.00 ,$85.83 
FL6164HKRN,JUNE BEAUTY SUPPLY,931 N. STATE ROAD 434  SUITE#1225,ALTAMONTE SPRINGS,FL,407-335-4358,CREDIT,$0.00 ,$0.00 ,$328.80 
CA4343IN,K & K BEAUTY SUPPLY,2420 SAND CREEK RD,ANTIOCH,CA,925-206-4343,CREDIT,$0.00 ,$0.00 ,$0.00 
GA8645HKWK,K PLUS,2885 MACON CT.,SUWANEE,GA,770-883-8645,NET30,"$1,971.53 ",$0.00 ,"$1,971.53 "
TX6045IN,KENDRICK HOWELL,522 ROYAL CT,SAN ANTONIO,TX,843-364-6045,CREDIT,$61.73 ,$0.00 ,$61.73 
GA5712IN,KEVIN THOMAS,1929 WOODSIDE ROAD,AUGUSTA,GA,772-584-5712,CREDIT,$0.00 ,$0.00 ,
